,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
1776,400 m hurdles,49.21,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Minas Alozidis,49.21
1777,3000 m steeplechase,08:24.0,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Filippos Filippou,504.0
1778,High jump,2.35,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Kyriakos Ioannou,2.35
1779,Pole vault,5.56,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Fotis Stefani,5.56
1780,Long jump,7.86,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Dimitrios Araouzos,7.86
1781,Triple jump,17.13,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Marios Hadjiandreou,17.13
1782,Shot put,19.84,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Lourcas Louca,19.84
1783,Discus throw,66.32,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Apostolos Parellis,66.32
1784,Hammer throw,75.32,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Constantinos Stathelakos,75.32
1785,Javelin throw,74.58,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,Panayotis Kalogerou,74.58
1786,4 × 100 m relay,39.12,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,CyprusGeorgios SkenderAnninos MarcoullidesProdromos KatsantonisYiannis Zisimides,39.12
1787,4 × 400 m relay,03:11.2,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Male,CY,CYP,196.0,CyprusAntonios AgiomamitisG. AfamisKonstantinos PochanisEvripides Demosthenous,191.2
1788,100 m,11.25,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Ramona Papaioannou,11.25
1789,200 m,22.61,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Eleni Artymata,22.61
1790,400 m,51.14,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Eleni Artymata,51.14
1791,800 m,02:01.8,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Natalia Evangelidou,121.8
1792,1500 m,04:11.0,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Natalia Evangelidou,251.0
1793,3000 m,09:02.2,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Andri Avraam,542.2
1794,5000 m,16:13.3,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Andri Avraam,973.3
1795,10000 m,32:59.3,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Andri Avraam,1979.3
1796,Half marathon,1:14:40,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Thalia Charalambous,4480.0
1797,Marathon,2:34:17,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Dagmara Handzlik,9257.0
1798,100 m hurdles,13.25,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Evmorfia Baourda,13.25
1799,400 m hurdles,54.76,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Andri Sialou,54.76
1800,3000 m steeplechase,10:40.8,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Stella Christoforou,640.8
1801,High jump,1.93,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Leontia Kallenou,1.93
1802,Pole vault,4.45,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Marianna Zachariadi,4.45
1803,Long jump,6.8,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Maria Lambrou-Teloni,6.8
1804,Triple jump,13.94,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Nina Serbezova,13.94
1805,Shot put,16.71,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Olympia Menelaou,16.71
1806,Discus throw,59.18,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Androniki Lada,59.18
1807,Hammer throw,69.29,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Paraskevi Theodorou,69.29
1808,Javelin throw,57.2,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,Alexandra Tsisiou,57.2
1809,4 × 100 m relay,43.87,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,CyprusOlivia FotopoulouAnna Ramona PapaioannouFilippa FotopoulouEleni Artymata,43.87
1810,4 × 400 m relay,03:42.6,Cyprus,Asia,https://en.wikipedia.org/wiki/List_of_Cypriot_records_in_athletics,CY,35.126413,33.429859,Female,CY,CYP,196.0,CyprusK. KallinicouAndri SialouV. PapaioannouDora Kyriacou,222.6
1811,100 m,10.16,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Zdeněk Stromšík,10.16
1812,200 m,20.45,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Jirka,20.45
1813,400 m,44.79,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Pavel Maslák,44.79
1814,800 m,01:44.8,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Lukáš Vydra,104.8
1815,1500 m,03:32.5,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jakub Holuša,212.5
1816,3000 m,07:46.7,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Pešava,466.7
1817,5000 m,13:25.0,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jiří Sýkora,805.0
1818,10000 m,27:47.9,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Pešava,1667.9
1819,Half marathon,1:01:31,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Pešava,3691.0
1820,Marathon,2:11:57,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Karel David,7917.0
1821,110 m hurdles,13.27,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Petr Svoboda,13.27
1822,400 m hurdles,48.27,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jiří Mužík,48.27
1823,3000 m steeplechase,08:23.8,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Dušan Moravčík,503.8
1824,High jump,2.36,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Ján Zvara,2.36
1825,Pole vault,5.83,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Kudlička,5.83
1826,Long jump,8.31,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Radek Juška,8.31
1827,Triple jump,17.53,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Milan Mikuláš,17.53
1828,Shot put,22.01,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Tomáš Staněk,22.01
1829,Discus throw,71.26,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Imrich Bugár,71.26
1830,Hammer throw,81.28,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Vladimír Maška,81.28
1831,Javelin throw,98.48,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Jan Železný,98.48
1832,4 × 100 m relay,38.62,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Czech RepublicZdeněk StromšíkJan VelebaJan JirkaDominik Záleský,38.62
1833,4 × 400 m relay,03:02.4,Czech Republic,Europe,https://en.wikipedia.org/wiki/List_of_Czech_records_in_athletics,CZ,49.817492,15.472962,Male,CZ,CZE,203.0,Czech RepublicJan TesařVít MüllerMichal DesenskýPatrik Šorm,182.4
1834,100 m,10.26,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Kristoffer Hari,10.26
1835,200 m,20.52,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Jens Smedegård Hansen,20.52
1836,400 m,45.5,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Nick Ekelund-Arenander,45.5
1837,800 m,01:41.1,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Wilson Kipketer,101.1
1838,1500 m,03:31.2,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Robert Kiplagat Andersen,211.2
1839,3000 m,07:43.8,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Mogens Guldberg,463.8
1840,5000 m,13:25.4,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Dennis Jensen,805.4
1841,10000 m,27:54.8,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Carsten Jørgensen,1674.8
1842,Half marathon,1:01:55,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Carsten Jørgensen,3715.0
1843,Marathon,2:09:43,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Henrik Jørgensen,7783.0
1844,110 m hurdles,13.5,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Andreas Martinsen,13.5
1845,400 m hurdles,50.02,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Nicolai Hartling,50.02
1846,3000 m steeplechase,08:23.6,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Flemming Jensen,503.6
1847,High jump,2.27,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Michael Mikkelsen,2.27
1848,Pole vault,5.75,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Piotr Buciarski,5.75
1849,Long jump,8.25,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Morten Jensen,8.25
1850,Triple jump,16.88,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Anders Møller,16.88
1851,Shot put,21.61,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Joachim Olsen,21.61
1852,Discus throw,61.3,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Steen Hedegård,61.3
1853,Hammer throw,77.02,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Jan Bielecki,77.02
1854,Javelin throw,81.22,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,Kenneth Pedersen,81.22
1855,4 × 100 m relay,39.71,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,DenmarkAndreas TrajkovskiJesper SimonsenMike KaliszMorten Jensen,39.71
1856,4 × 400 m relay,03:07.1,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Male,DK,DNK,208.0,DenmarkJacob RiisAndreas BubeNicklas HydeNick Ekelund-Arenander,187.1
1857,100 m,11.42,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe A. Rasmussen,11.42
1858,200 m,23.36,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe A. Rasmussen,23.36
1859,400 m,52.84,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Rikke Rønholt,52.84
1860,800 m,02:01.0,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Karen Gydesen,121.0
1861,1500 m,04:07.2,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Heidi Jensen,247.2
1862,3000 m,08:42.3,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Loa Olafsson,522.3
1863,5000 m,15:08.8,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Loa Olafsson,908.8
1864,10000 m,31:45.4,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Loa Olafsson,1905.4
1865,Half marathon,1:09:48,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe S. Rasmussen,4188.0
1866,Marathon,2:29:34,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe S. Rasmussen,8974.0
1867,100 m hurdles,13.45,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe A. Rasmussen,13.45
1868,400 m hurdles,53.55,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Sara Petersen,53.55
1869,3000 m steeplechase,09:32.7,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Anna Emilie Møller,572.7
1870,High jump,1.94,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Pia Zinck,1.94
1871,Pole vault,4.35,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Marie Bagger Rasmussen,4.35
1872,Long jump,6.96,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Renata Nielsen,6.96
1873,Triple jump,13.84,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Dorthe Jensen,13.84
1874,Shot put,16.8,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Trine Mulbjerg,16.8
1875,Discus throw,56.21,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Kathrine Bebe,56.21
1876,Hammer throw,63.49,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Celina Julin,63.49
1877,Javelin throw,64.83,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,Christina Scherwin,64.83
1878,4 × 100 m relay,45.04,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,DenmarkBritt HansenHelle TheilLisbet Nissen-PetersenDorthe A. Rasmussen,45.04
1879,4 × 400 m relay,03:36.2,Denmark,Europe,https://en.wikipedia.org/wiki/List_of_Danish_records_in_athletics,DK,56.26392,9.501785,Female,DK,DNK,208.0,DenmarkBirgitte JennesKirsten HøilerPia Lund HansenAnnelise Damm-Olesen,216.2
1880,100 m,11.39,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ismael Abdallah Ismael,11.39
1881,200 m,23.31,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ismael Abdallah Ismael,23.31
1882,400 m,49.59,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Houssein Nour Ali,49.59
1883,800 m,01:43.0,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ayanleh Souleiman,103.0
1884,1500 m,03:29.6,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ayanleh Souleiman,209.6
1885,3000 m,07:42.2,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ayanleh Souleiman,462.2
1886,5000 m,13:17.8,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Mumin Gala,797.8
1887,10000 m,28:17.4,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Hussein Ahmed Salah,1697.4
1888,Half marathon,1:02:05,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Hussein Ahmed Salah,3725.0
1889,Marathon,2:07:07,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Hussein Ahmed Salah,7627.0
1890,400 m hurdles,55.41,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Houssein Nour Ali,55.41
1891,3000 m steeplechase,08:23.8,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Mohamed Ismail Ibrahim,503.8
1892,High jump,1.8,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Mahamoud Hassan,1.8
1893,Long jump,6.89,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Mohamed Gouled,6.89
1894,Triple jump,12.75,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Ahmed Ali,12.75
1895,Shot put,12,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Assoweh Aboubaker,12.0
1896,Javelin throw,36.49,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Male,DJ,DJI,262.0,Saad Ali Farah,36.49
1897,100 m,13.45,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Fathia Ali Bouraleh,13.45
1898,200 m,27.83,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Hasna Idriss Goumanes,27.83
1899,400 m,01:01.8,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Hibo Rarejeh,61.8
1900,800 m,02:11.0,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Zouhra Ali Mohamed,131.0
1901,1500 m,04:39.4,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Sabad Elmi Gabobeh,279.4
1902,3000 m,11:17.0,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Madima Mahamoud Djama,677.0
1903,100 m hurdles,19.3,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Kadra Ahmed Saleh,19.3
1904,400 m hurdles,01:20.1,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Saredo Iltireh,80.1
1905,High jump,1.3,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Neima Awaleh Ahmed,1.3
1906,Long jump,4.75,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Fatouma Abdallah Mohamed,4.75
1907,Shot put,9.45,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Fimiro Aden Okieh,9.45
1908,Discus throw,22.3,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Ikram Ali Ahmed,22.3
1909,Javelin throw,31.86,Djibouti,Africa,https://en.wikipedia.org/wiki/List_of_Djiboutian_records_in_athletics,DJ,11.825138,42.590275,Female,DJ,DJI,262.0,Ikram Ali Ahmed,31.86
1910,100 m,10.33,Dominica,Americas,https://en.wikipedia.org/wiki/List_of_Dominica_records_in_athletics,DM,15.414999,-61.370976,Male,DM,DMA,212.0,Chris Lloyd,10.33
1911,200 m,20.31,Dominica,Americas,https://en.wikipedia.org/wiki/List_of_Dominica_records_in_athletics,DM,15.414999,-61.370976,Male,DM,DMA,212.0,Chris Lloyd,20.31
1912,400 m,45.31,Dominica,Americas,https://en.wikipedia.org/wiki/List_of_Dominica_records_in_athletics,DM,15.414999,-61.370976,Male,DM,DMA,212.0,Bruce Phillip,45.31
