,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
31,Half marathon,1:45:06,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Sahar Zamir,6306.0
32,Marathon,3:24:07,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Sahar Zamir,12247.0
33,High jump,1.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Asma Mohammadi,1.11
34,Long jump,3.76,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,3.76
35,Triple jump,9.14,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Farkhunda Muhtaj,9.14
36,Shot put,4.78,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,4.78
37,Discus throw,12.78,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Asra Mohammadi,12.78
38,Hammer throw,13.1,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4.0,Yalda Amini,13.1
39,100 m,10.56,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Arben Makaj,10.56
40,200 m,21.45,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Franko Burraj,21.45
41,400 m,46.48,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Franko Burraj,46.48
42,800 m,01:48.6,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,David Nikolli,108.6
43,1500 m,03:39.2,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,David Nikolli,219.2
44,3000 m,08:03.0,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,David Nikolli,483.0
45,5000 m,14:15.5,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,David Nikolli,855.5
46,10000 m,29:41.5,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Isuf Curri,1781.5
47,Half marathon,1:08:37,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Mino Jorgo,4117.0
48,Marathon,2:25:29,Albania,Europe,https://en.wikipedia.org/wiki/List_of_Albanian_records_in_athletics,AL,41.153332,20.168331,Male,AL,ALB,8.0,Remzi Laho,8729.0
