,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
145,100 m,11.69s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Female,AO,AGO,24.0,Antónia Margarete de Jesus,11.69
146,200 m,24.61s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Female,AO,AGO,24.0,Adriana Alves,24.61
147,400 m,55.34s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Female,AO,AGO,24.0,Guilhermina Cruz,55.34
154,100 m hurdles,14.38s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Female,AO,AGO,24.0,Delfina Joaquim,14.38
155,400 m hurdles,58.34s,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Female,AO,AGO,24.0,Delfina Joaquim,58.34
165,100 m,10.12s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Male,AI,AIA,660.0,Zharnel Hughes,10.12
166,200 m,20.15s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Male,AI,AIA,660.0,Zharnel Hughes,20.15
167,400 m,47.29s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Male,AI,AIA,660.0,Kirthley Richardson,47.29
171,110 m hurdles,18.7s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Male,AI,AIA,660.0,Andre Samuel,18.7
172,400 m hurdles,55.95s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Male,AI,AIA,660.0,Kithley Richardson,55.95
182,100 m,11.98s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Female,AI,AIA,660.0,Desiree Cocks,11.98
183,200 m,24.53s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Female,AI,AIA,660.0,Artesha Richardson,24.53
184,400 m,55.41s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Female,AI,AIA,660.0,Artesha Richardson,55.41
188,100 m hurdles,14.97s,Anguilla,Americas,https://en.wikipedia.org/wiki/List_of_Anguillian_records_in_athletics,AI,18.220554,-63.068615,Female,AI,AIA,660.0,Dee-Anne Rogers,14.97
197,100 m,9.91s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Male,AG,ATG,28.0,Daniel Bailey,9.91
198,200 m,19.88s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Male,AG,ATG,28.0,Miguel Francis,19.88
199,400 m,44.74s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Male,AG,ATG,28.0,Rai Benjamin,44.74
206,110 m hurdles,14.07s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Male,AG,ATG,28.0,Randy Gillon,14.07
207,400 m hurdles,47.02s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Male,AG,ATG,28.0,Rai Benjamin,47.02
219,100 m,11.2s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Female,AG,ATG,28.0,Heather Samuel,11.2
220,200 m,23.2s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Female,AG,ATG,28.0,Heather Samuel,23.2
221,400 m,52.49s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Female,AG,ATG,28.0,Afia Charles,52.49
226,100 m hurdles,15.77s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Female,AG,ATG,28.0,Elma Camacho,15.77
227,400 m hurdles,01:02.2s,Antigua and Barbuda,Americas,https://en.wikipedia.org/wiki/List_of_Antiguan_and_Barbudan_records_in_athletics,AG,17.060816,-61.796428,Female,AG,ATG,28.0,Barbara Selkridge,62.2
237,100 m,10.23s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Male,AR,ARG,32.0,Carlos Gats,10.23
238,200 m,20.37s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Male,AR,ARG,32.0,Carlos Gats,20.37
239,400 m,46.02s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Male,AR,ARG,32.0,Elián Larregina,46.02
247,110 m hurdles,13.74s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Male,AR,ARG,32.0,Agustín Carrera,13.74
248,400 m hurdles,49.28s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Male,AR,ARG,32.0,Guillermo Ruggeri,49.28
260,100 m,11.4s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Female,AR,ARG,32.0,María Victoria Woodward,11.4
261,200 m,22.94s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Female,AR,ARG,32.0,Beatriz Allocco,22.94
262,400 m,52.5s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Female,AR,ARG,32.0,Olga Conte,52.5
270,100 m hurdles,13.28s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Female,AR,ARG,32.0,Verónica Depaoli,13.28
271,400 m hurdles,55.88s,Argentina,Americas,https://en.wikipedia.org/wiki/List_of_Argentine_records_in_athletics,AR,-38.416097,-63.616672,Female,AR,ARG,32.0,Fiorella Chiappe,55.88
283,100 m,10.45s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Male,AM,ARM,51.0,Arman Andreasyan,10.45
284,200 m,21.15s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Male,AM,ARM,51.0,Hovhannes Mkrtchyan,21.15
285,400 m,46.99s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Male,AM,ARM,51.0,Arayik Hovhannisyan,46.99
293,110 m hurdles,14.01s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Male,AM,ARM,51.0,Zhan Mkhitarian,14.01
294,400 m hurdles,50.79s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Male,AM,ARM,51.0,Rudik Matevosian,50.79
306,100 m,11.84s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Female,AM,ARM,51.0,Diana Khubeseryan,11.84
307,200 m,24.5s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Female,AM,ARM,51.0,Gayane Chiloyan,24.5
308,400 m,53.48s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Female,AM,ARM,51.0,Amaliya Sharoyan,53.48
316,100 m hurdles,14.13s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Female,AM,ARM,51.0,Nadezhda Karyakina,14.13
317,400 m hurdles,57.97s,Armenia,Asia,https://en.wikipedia.org/wiki/List_of_Armenian_records_in_athletics,AM,40.069099,45.038189,Female,AM,ARM,51.0,Amaliya Sharoyan,57.97
328,100 m,10.15s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Male,AT,AUT,40.0,Andreas Berger,10.15
329,200 m,20.45s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Male,AT,AUT,40.0,Christoph Pöstinger,20.45
330,400 m,45.69s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Male,AT,AUT,40.0,Clemens Zeller,45.69
338,110 m hurdles,13.14s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Male,AT,AUT,40.0,Mark McKoy,13.14
339,400 m hurdles,49.33s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Male,AT,AUT,40.0,Thomas Futterknecht,49.33
349,100 m,11.15s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Female,AT,AUT,40.0,Karin Mayr-Krifka,11.15
350,200 m,22.7s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Female,AT,AUT,40.0,Karin Mayr,22.7
351,400 m,50.62s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Female,AT,AUT,40.0,Karoline Käfer,50.62
359,100 m hurdles,12.82s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Female,AT,AUT,40.0,Beate Schrott,12.82
360,400 m hurdles,56.86s,Austria,Europe,https://en.wikipedia.org/wiki/List_of_Austrian_records_in_athletics,AT,47.516231,14.550072,Female,AT,AUT,40.0,Gerda Haas,56.86
370,100 m,10.08s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Male,AZ,AZE,31.0,Ramil Quliyev,10.08
371,200 m,20.04s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Male,AZ,AZE,31.0,Ramil Quliyev,20.04
372,400 m,45.83s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Male,AZ,AZE,31.0,Yuriy Dudkin,45.83
380,110 m hurdles,13.63s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Male,AZ,AZE,31.0,Gennadiy Chugunov,13.63
381,400 m hurdles,50s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Male,AZ,AZE,31.0,Aleksandr Karasyov,50.0
391,100 m,11.61s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Female,AZ,AZE,31.0,Zakiyya Hasanova,11.61
392,200 m,23.76s,Azerbaijan,Asia,https://en.wikipedia.org/wiki/List_of_Azerbaijani_records_in_athletics,AZ,40.143105,47.576927,Female,AZ,AZE,31.0,Zakiyya Hasanova,23.76
